"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.58004","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"1","18.57933","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"2","18.57933","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"3","18.58131","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"4","18.58131","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"5","18.57976","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"6","18.57976","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"7","18.58","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"8","18.58","8/28/2026 2:33:01 PM","8/28/2026 2:33:01 PM",
"9","18.58058","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"10","18.58058","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"11","18.58112","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"12","18.58112","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"13","18.5791","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"14","18.5791","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"15","18.58026","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"16","18.58026","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"17","18.58009","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"18","18.58009","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"19","18.58131","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"20","18.58131","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"21","18.57907","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
"22","18.57907","8/28/2026 2:33:02 PM","8/28/2026 2:33:02 PM",
