"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.29302","8/28/2026 3:52:45 PM","8/28/2026 3:52:45 PM",
"1","18.29245","8/28/2026 3:52:45 PM","8/28/2026 3:52:45 PM",
"2","18.29245","8/28/2026 3:52:45 PM","8/28/2026 3:52:45 PM",
"3","18.29226","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"4","18.29226","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"5","18.29334","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"6","18.29334","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"7","18.29281","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"8","18.29281","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"9","18.29172","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"10","18.29172","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"11","18.29067","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"12","18.29067","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"13","18.29383","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"14","18.29383","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"15","18.29116","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"16","18.29116","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"17","18.29306","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"18","18.29306","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"19","18.29281","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"20","18.29281","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"21","18.29254","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"22","18.29254","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"23","18.293","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"24","18.293","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"25","18.29149","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"26","18.29149","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"27","18.29262","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"28","18.29262","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"29","18.29275","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"30","18.29275","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"31","18.29358","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"32","18.29358","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"33","18.29356","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"34","18.29356","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"35","18.29215","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"36","18.29215","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"37","18.29255","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"38","18.29255","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"39","18.29276","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"40","18.29276","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"41","18.29052","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"42","18.29052","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"43","18.29139","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"44","18.29139","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"45","18.29312","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"46","18.29312","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"47","18.292","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"48","18.292","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"49","18.29313","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"50","18.29313","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"51","18.29251","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"52","18.29251","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"53","18.29448","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"54","18.29448","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"55","18.29155","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"56","18.29155","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"57","18.29326","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"58","18.29326","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"59","18.29259","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"60","18.29259","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"61","18.29278","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"62","18.29278","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"63","18.2928","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"64","18.2928","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"65","18.29142","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"66","18.29142","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"67","18.2935","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"68","18.2935","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"69","18.29351","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"70","18.29351","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"71","18.29272","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"72","18.29272","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"73","18.29173","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"74","18.29173","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"75","18.29304","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"76","18.29304","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"77","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"78","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"79","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"80","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"81","18.29453","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"82","18.29453","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"83","18.29239","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"84","18.29239","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"85","18.2937","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"86","18.2937","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"87","18.29231","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"88","18.29231","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"89","18.29231","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"90","18.29289","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"91","18.29289","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"92","18.2934","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"93","18.2934","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"94","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"95","18.29269","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"96","18.29233","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"97","18.29233","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"98","18.29182","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"99","18.29182","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"100","18.2921","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"101","18.2921","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"102","18.29214","8/28/2026 3:52:46 PM","8/28/2026 3:52:46 PM",
"103","18.29214","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"104","18.29012","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"105","18.29012","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"106","18.29133","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"107","18.29133","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"108","18.2921","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"109","18.2921","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"110","18.29124","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"111","18.29124","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"112","18.28989","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"113","18.28989","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"114","18.29101","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"115","18.29101","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"116","18.2894","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"117","18.2894","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"118","18.28972","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"119","18.28972","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"120","18.28961","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"121","18.28961","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"122","18.28988","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"123","18.28988","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"124","18.2877","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"125","18.2877","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"126","18.28826","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"127","18.28826","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"128","18.28724","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"129","18.28724","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"130","18.28709","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"131","18.28709","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"132","18.28607","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"133","18.28582","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"134","18.28582","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"135","18.28345","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"136","18.28345","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"137","18.28237","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"138","18.28237","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"139","18.2859","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"140","18.2859","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"141","18.28405","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"142","18.28405","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"143","18.28391","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"144","18.28391","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"145","18.28298","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"146","18.28298","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"147","18.28315","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"148","18.28315","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"149","18.28322","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"150","18.28322","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"151","18.28081","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"152","18.28081","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"153","18.28115","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"154","18.28115","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"155","18.28014","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"156","18.28014","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"157","18.27963","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"158","18.27963","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"159","18.27871","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"160","18.27871","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"161","18.28012","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"162","18.28012","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"163","18.27947","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"164","18.27947","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"165","18.27751","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"166","18.27751","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"167","18.27781","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"168","18.27781","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"169","18.27682","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"170","18.27682","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"171","18.27473","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"172","18.27473","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"173","18.27511","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"174","18.27511","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"175","18.27559","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"176","18.27559","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"177","18.2758","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"178","18.2758","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"179","18.27396","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"180","18.27396","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"181","18.27427","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"182","18.27427","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"183","18.27223","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"184","18.27223","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"185","18.27319","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"186","18.27319","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"187","18.27139","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"188","18.27139","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"189","18.26977","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"190","18.26977","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"191","18.26977","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"192","18.27112","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"193","18.27112","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"194","18.26859","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"195","18.26859","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"196","18.26987","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"197","18.26987","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"198","18.26542","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"199","18.26542","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"200","18.26817","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"201","18.26817","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"202","18.26665","8/28/2026 3:52:47 PM","8/28/2026 3:52:47 PM",
"203","18.26665","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"204","18.26822","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"205","18.26822","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"206","18.26635","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"207","18.26635","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"208","18.2637","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
"209","18.2637","8/28/2026 3:52:48 PM","8/28/2026 3:52:48 PM",
