"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.22262","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"1","18.22239","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"2","18.22239","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"3","18.22255","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"4","18.22255","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"5","18.22233","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"6","18.22233","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"7","18.22256","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"8","18.22256","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"9","18.22283","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"10","18.22283","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"11","18.22265","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"12","18.22265","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"13","18.22284","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"14","18.22284","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"15","18.22269","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"16","18.22269","9/2/2026 2:54:11 PM","9/2/2026 2:54:11 PM",
"17","18.22358","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"18","18.22358","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"19","18.22241","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"20","18.22241","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"21","18.223","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"22","18.223","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"23","18.22292","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"24","18.22292","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"25","18.22342","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"26","18.22342","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"27","18.22261","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"28","18.22261","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"29","18.22287","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"30","18.22287","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"31","18.22237","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"32","18.22237","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"33","18.22256","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"34","18.22256","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"35","18.22326","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"36","18.22326","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"37","18.22316","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"38","18.22316","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"39","18.22151","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"40","18.22151","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"41","18.22343","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"42","18.22343","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"43","18.22243","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"44","18.22243","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"45","18.224","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"46","18.224","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"47","18.22191","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"48","18.22191","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"49","18.2231","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"50","18.2231","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"51","18.22226","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"52","18.22226","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"53","18.22296","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"54","18.22296","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"55","18.22274","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"56","18.22274","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"57","18.22324","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"58","18.22324","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"59","18.22285","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"60","18.22285","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"61","18.22261","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"62","18.22261","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"63","18.22285","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"64","18.22285","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"65","18.22227","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"66","18.22227","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"67","18.22269","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"68","18.22269","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"69","18.22307","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"70","18.22307","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"71","18.22324","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"72","18.22324","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"73","18.22211","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"74","18.22211","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
"75","18.22332","9/2/2026 2:54:12 PM","9/2/2026 2:54:12 PM",
