"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.28424","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"1","18.28424","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"2","18.28499","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"3","18.28499","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"4","18.28451","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"5","18.28451","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"6","18.28402","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"7","18.28402","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"8","18.28462","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"9","18.28462","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"10","18.28536","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"11","18.28536","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"12","18.2849","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"13","18.2849","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"14","18.28481","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"15","18.28481","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"16","18.28507","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"17","18.28507","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"18","18.28465","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"19","18.28465","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"20","18.28559","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"21","18.28559","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"22","18.2827","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"23","18.2827","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"24","18.28532","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"25","18.28532","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"26","18.28583","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"27","18.28583","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"28","18.28459","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"29","18.28459","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
"30","18.28469","8/28/2026 3:38:05 PM","8/28/2026 3:38:05 PM",
