"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.16796","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"1","18.16812","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"2","18.16812","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"3","18.16947","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"4","18.16947","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"5","18.16861","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"6","18.16861","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"7","18.16842","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"8","18.16842","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"9","18.16951","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"10","18.16951","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"11","18.16898","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"12","18.16898","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"13","18.16929","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"14","18.16929","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"15","18.16839","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"16","18.16839","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"17","18.16939","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"18","18.16939","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"19","18.16868","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"20","18.16868","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"21","18.16954","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"22","18.16954","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"23","18.16955","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"24","18.16955","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"25","18.16992","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"26","18.16992","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"27","18.16845","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"28","18.16845","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"29","18.16936","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"30","18.16936","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"31","18.16897","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"32","18.16897","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"33","18.16986","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"34","18.16986","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"35","18.16917","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"36","18.16917","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"37","18.16953","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"38","18.16953","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"39","18.16875","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"40","18.16875","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"41","18.16901","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"42","18.16901","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"43","18.16929","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"44","18.16929","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"45","18.16932","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"46","18.16932","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"47","18.16955","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"48","18.16955","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"49","18.16956","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"50","18.16956","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"51","18.16908","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"52","18.16908","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"53","18.1694","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"54","18.1694","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"55","18.16849","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"56","18.16849","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"57","18.16896","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"58","18.16896","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"59","18.16891","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"60","18.16891","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"61","18.16968","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"62","18.16968","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"63","18.16941","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"64","18.16941","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"65","18.16986","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"66","18.16986","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"67","18.16888","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"68","18.16888","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"69","18.16964","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"70","18.16964","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"71","18.16981","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"72","18.16981","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"73","18.1689","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"74","18.1689","9/2/2026 2:41:41 PM","9/2/2026 2:41:41 PM",
"75","18.16894","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"76","18.16894","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"77","18.16894","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"78","18.16894","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"79","18.16912","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"80","18.16912","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"81","18.16887","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"82","18.16887","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"83","18.169","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"84","18.169","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"85","18.16962","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"86","18.16962","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"87","18.1684","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"88","18.1684","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"89","18.16972","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"90","18.16972","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"91","18.1706","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"92","18.1706","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"93","18.1703","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"94","18.1703","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"95","18.17019","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"96","18.17019","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"97","18.16929","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"98","18.16929","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"99","18.16797","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"100","18.16797","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
"101","18.16894","9/2/2026 2:41:42 PM","9/2/2026 2:41:42 PM",
