"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.29206","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"1","18.29356","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"2","18.29356","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"3","18.29315","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"4","18.29315","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"5","18.29288","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"6","18.29288","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"7","18.29342","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"8","18.29342","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"9","18.29578","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"10","18.29578","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"11","18.29593","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"12","18.29593","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"13","18.29546","8/28/2026 3:53:35 PM","8/28/2026 3:53:35 PM",
"14","18.29546","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"15","18.29477","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"16","18.29477","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"17","18.29265","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"18","18.29265","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"19","18.29315","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"20","18.29315","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"21","18.29384","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"22","18.29384","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"23","18.29432","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"24","18.29432","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"25","18.29317","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"26","18.29317","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"27","18.29363","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"28","18.29363","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"29","18.2941","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"30","18.2941","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"31","18.29367","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"32","18.29367","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"33","18.29331","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"34","18.29331","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"35","18.29313","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"36","18.29313","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"37","18.29313","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"38","18.29327","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"39","18.29327","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"40","18.29566","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"41","18.29566","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"42","18.2947","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"43","18.2947","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"44","18.29343","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"45","18.29343","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"46","18.294","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"47","18.294","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"48","18.29325","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"49","18.29325","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"50","18.29272","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"51","18.29272","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"52","18.29345","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"53","18.29345","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"54","18.29505","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"55","18.29505","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"56","18.29455","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"57","18.29455","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"58","18.29435","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"59","18.29435","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"60","18.29494","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"61","18.29494","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"62","18.29427","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"63","18.29427","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"64","18.29535","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"65","18.29535","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"66","18.29325","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"67","18.29325","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"68","18.29387","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"69","18.29387","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"70","18.29356","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"71","18.29356","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"72","18.29373","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"73","18.29373","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"74","18.29322","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"75","18.29322","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"76","18.29303","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"77","18.29303","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"78","18.29352","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"79","18.29352","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"80","18.2942","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"81","18.2942","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"82","18.29499","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"83","18.29499","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"84","18.29317","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"85","18.29317","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"86","18.29386","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"87","18.29386","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"88","18.29304","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"89","18.29304","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"90","18.29352","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"91","18.29352","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"92","18.29369","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"93","18.29369","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"94","18.29362","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"95","18.29362","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"96","18.2944","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"97","18.2944","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"98","18.29508","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"99","18.29508","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"100","18.29548","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"101","18.29548","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"102","18.29391","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"103","18.29391","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"104","18.29516","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"105","18.29516","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"106","18.29311","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"107","18.29311","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"108","18.29436","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"109","18.29436","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"110","18.29411","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"111","18.29411","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"112","18.29433","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"113","18.29433","8/28/2026 3:53:36 PM","8/28/2026 3:53:36 PM",
"114","18.2938","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"115","18.2938","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"116","18.29559","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"117","18.29559","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"118","18.29387","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"119","18.29387","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"120","18.29427","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"121","18.29427","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"122","18.29328","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"123","18.29328","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"124","18.29373","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"125","18.29373","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"126","18.29395","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"127","18.29395","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"128","18.29372","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"129","18.29372","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"130","18.29382","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"131","18.29382","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"132","18.29399","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"133","18.29399","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"134","18.29325","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"135","18.29325","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"136","18.29372","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"137","18.29372","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"138","18.29258","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"139","18.29258","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"140","18.29418","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"141","18.29418","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"142","18.29088","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"143","18.29088","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"144","18.29167","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"145","18.29167","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"146","18.29212","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"147","18.29212","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"148","18.29353","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"149","18.29353","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"150","18.2946","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"151","18.2946","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"152","18.29332","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"153","18.29332","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"154","18.29316","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"155","18.29316","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"156","18.29087","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"157","18.29087","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"158","18.2921","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"159","18.2921","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"160","18.29131","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"161","18.29131","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"162","18.29149","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"163","18.29149","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"164","18.29073","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"165","18.29073","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"166","18.28997","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"167","18.28997","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"168","18.29036","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"169","18.29036","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
"170","18.28986","8/28/2026 3:53:37 PM","8/28/2026 3:53:37 PM",
