"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.48507","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"1","18.48507","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"2","18.48467","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"3","18.48467","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"4","18.48324","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"5","18.48324","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"6","18.48366","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"7","18.48366","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"8","18.48471","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"9","18.48471","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"10","18.48405","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"11","18.48405","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"12","18.48426","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"13","18.48426","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"14","18.48409","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"15","18.48409","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"16","18.48475","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"17","18.48475","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"18","18.48462","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"19","18.48462","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"20","18.48612","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"21","18.48612","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"22","18.48365","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"23","18.48365","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
"24","18.48515","8/31/2026 2:28:27 PM","8/31/2026 2:28:27 PM",
