"Live Graph Properties",
"Device","Status","Serial Number",
"1","Enabled","354044",
"2","Disabled","",
"3","Disabled","",
"4","Disabled","",
"5","Disabled","",
"6","Disabled","",
"7","Disabled","",
"8","Disabled","",
"9","Disabled","",
"10","Disabled","",
"11","Disabled","",
"12","Disabled","",
"13","Disabled","",
"14","Disabled","",
"15","Disabled","",
"16","Disabled","",
"Sum","Disabled","",
"Math","Disabled","",

"Device 1",
"Live Graph Table",
"Sample Number","Tracking Value","Date","Time",
"0","18.21245","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"1","18.21245","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"2","18.21217","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"3","18.21217","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"4","18.21271","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"5","18.21271","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"6","18.21304","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"7","18.21304","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"8","18.21206","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"9","18.21206","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"10","18.21258","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"11","18.21258","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"12","18.21208","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"13","18.21208","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"14","18.2137","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"15","18.2137","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"16","18.21202","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"17","18.21202","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"18","18.21242","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"19","18.21242","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"20","18.21159","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"21","18.21159","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"22","18.21225","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"23","18.21225","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"24","18.21295","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"25","18.21295","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"26","18.21193","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"27","18.21193","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"28","18.21258","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"29","18.21258","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"30","18.21262","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"31","18.21262","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
"32","18.2125","9/2/2026 2:55:50 PM","9/2/2026 2:55:50 PM",
